run number,generation num,individual num,alpha_wiener,percent_wiener,percent_specsub,threshold,attack,noise len,noise margin,hangover,fitness
1,1,1,2.000000,0.278846,0.810141,0.093032,20.000000,5.803143,19.987041,13.093223,0.036415
1,1,2,1.763172,0.230377,0.773109,0.000000,12.024153,5.729779,15.546536,8.870086,0.044298
1,1,3,1.868090,0.038030,0.840663,0.052295,13.110429,6.245014,18.042667,8.190979,0.035233
1,1,4,2.000000,0.157072,0.931340,0.000000,15.442899,15.496009,18.848982,0.418312,0.042299
1,1,5,1.602017,0.306983,0.766703,0.117130,20.000000,8.454588,16.703892,14.126758,0.042662
1,1,6,1.258367,0.420034,0.843074,0.000000,20.000000,14.365834,20.000000,4.233219,0.046655
1,1,7,1.345234,0.055328,0.347539,0.000000,14.778835,14.158151,16.185042,12.141765,0.039400
1,1,8,1.746115,0.000000,0.851277,0.000000,11.079488,4.550212,20.000000,10.990440,0.043475
1,1,9,1.126787,0.087205,1.000000,0.035530,11.075498,11.934340,20.000000,11.545450,0.044800
1,1,10,0.886322,0.338313,0.692660,0.066608,15.954449,11.635123,20.000000,8.090131,0.034651
1,1,11,1.470262,0.064995,0.616691,0.030884,18.104236,7.612346,20.000000,11.300066,0.034899
1,1,12,1.894864,0.324733,0.761198,0.000000,20.000000,3.068538,17.986785,16.952834,0.045328
1,2,1,1.794653,0.393869,0.847656,0.058312,16.671873,10.021314,18.068291,9.956708,0.038418
1,2,2,0.992491,0.355042,0.623755,0.131005,15.321242,15.742013,16.264220,10.240252,0.043664
1,2,3,1.350790,0.177904,0.885747,0.038672,17.460525,9.495320,20.000000,15.101211,0.040288
1,2,4,1.229692,0.075305,0.697201,0.079602,20.000000,3.242265,18.338961,10.329753,0.038368
1,2,5,1.414922,0.304952,0.747766,0.086866,19.681737,11.148506,19.337806,8.736571,0.036307
1,2,6,0.716261,0.000000,0.741205,0.108910,20.000000,15.572270,20.000000,12.279796,0.043414
1,2,7,1.632443,0.264128,0.511615,0.080889,19.301501,13.731539,19.177215,7.951990,0.042751
1,2,8,1.473853,0.253780,0.720822,0.050842,11.858515,11.064344,20.000000,11.174270,0.034927
1,2,9,1.529458,0.231631,0.670936,0.013559,11.471007,9.373767,20.000000,4.366956,0.041973
1,2,10,1.013066,0.532233,0.634738,0.015003,17.558872,10.590426,20.000000,10.711378,0.039491
1,2,11,0.772781,0.332209,0.429084,0.074164,20.000000,13.794805,17.170485,10.070471,0.043179
1,2,12,1.332795,0.639445,0.651906,0.000000,14.643840,9.289435,20.000000,7.980898,0.044186
1,3,1,1.332826,0.066546,0.738683,0.032079,14.657674,4.878367,9.758178,14.531097,0.036781
1,3,2,1.482203,0.075635,0.468615,0.080345,14.051447,15.974346,17.109568,7.670241,0.043458
1,3,3,1.122496,0.167938,0.680448,0.000000,12.322035,12.592935,20.000000,9.893455,0.040767
1,3,4,1.516899,0.265814,0.657365,0.015964,20.000000,6.225949,20.000000,8.193898,0.041949
1,3,5,0.773229,0.268677,0.720112,0.064393,15.513718,11.961918,20.000000,7.342651,0.033772
1,3,6,1.381273,0.393337,0.639760,0.029969,17.116028,5.666160,16.918243,9.336879,0.038802
1,3,7,0.983204,0.317889,0.799544,0.066772,16.838578,10.692997,20.000000,10.793354,0.033513
1,3,8,1.402513,0.103180,0.843161,0.088626,20.000000,8.967664,16.092910,14.031378,0.036311
1,3,9,1.206567,0.121723,0.879776,0.114850,20.000000,11.628494,20.000000,13.633739,0.041883
1,3,10,1.801892,0.162109,0.645269,0.070662,14.203865,8.307892,14.838195,14.473460,0.036315
1,3,11,1.527992,0.522328,0.886497,0.161729,11.331121,8.481533,17.019752,10.083776,0.043209
1,3,12,1.056373,0.385320,0.579110,0.137179,17.766927,8.768679,18.227904,11.609910,0.043699
1,4,1,1.494692,0.109341,0.872542,0.042964,16.282048,6.700737,15.874390,14.276652,0.037202
1,4,2,1.035061,0.156682,0.693276,0.091877,11.355634,11.155268,16.847386,11.429758,0.041683
1,4,3,0.671653,0.000000,0.566551,0.096293,13.224773,7.377427,18.450838,10.532372,0.043554
1,4,4,1.212327,0.089048,0.862066,0.051042,15.936053,4.335972,18.709710,5.125671,0.035992
1,4,5,1.152384,0.372689,0.732404,0.013919,18.405999,10.966237,17.125987,14.232900,0.042512
1,4,6,0.864884,0.090559,0.719946,0.134305,12.399685,7.780203,20.000000,9.264925,0.043676
1,4,7,1.667007,0.041939,0.781299,0.082686,17.545202,10.330233,20.000000,13.603867,0.036927
1,4,8,0.943074,0.047394,0.595753,0.000000,17.205160,6.167490,17.928362,12.531992,0.039685
1,4,9,1.504321,0.041657,1.000000,0.017864,15.264253,14.630820,12.979489,14.773764,0.047888
1,4,10,1.492224,0.444488,0.794640,0.008711,15.026210,7.156317,18.908604,12.024589,0.046884
1,4,11,0.733728,0.407420,0.567686,0.042497,12.537744,11.887541,20.000000,11.829467,0.033762
1,4,12,1.089290,0.329853,0.600640,0.079396,15.670214,16.307083,16.396309,16.413461,0.039924
1,5,1,0.959166,0.314407,0.787621,0.028022,15.475908,10.587125,20.000000,8.933716,0.040274
1,5,2,0.606080,0.382345,0.479497,0.014354,16.300660,7.315361,20.000000,12.093109,0.038697
1,5,3,1.149547,0.196570,0.901016,0.025560,15.744643,10.033751,17.534228,11.710340,0.045087
1,5,4,1.143093,0.233600,0.835829,0.060379,13.511198,8.945709,20.000000,11.112607,0.034933
1,5,5,1.243981,0.223227,0.749834,0.021441,19.474931,10.917805,15.571021,9.741792,0.042202
1,5,6,0.853123,0.303170,0.647764,0.006951,11.829240,8.391546,20.000000,11.856952,0.040267
1,5,7,1.321239,0.148206,0.809565,0.130249,14.723694,6.607184,13.275479,12.301962,0.043309
1,5,8,1.016032,0.397338,0.753937,0.085285,17.171858,8.191025,16.953372,11.546792,0.036940
1,5,9,1.658247,0.174252,0.682681,0.035791,17.394072,13.498308,16.153076,12.409207,0.035560
1,5,10,1.415638,0.209447,0.899498,0.057258,15.259345,9.195972,18.713639,11.814455,0.037362
1,5,11,0.883255,0.284338,0.569327,0.082902,15.451186,11.429574,18.655281,12.187531,0.042074
1,5,12,1.688141,0.165534,0.864390,0.037297,17.710472,7.655810,17.632592,12.524065,0.041209
